공고명,관련,호
[입찰대행]기후 적응형 벼 안정생산 재배단지 조성 시범사업,2,16
"2025년 서울브랜드 농산물 육성을 위한 포장재(채소, 화훼, 양봉) 제작 구매",1,46
2025년 친환경농업 활성화 기반조성 지원사업 친환경농자재 구매,2,14
[입찰대행] 식량작물 신품종 종자 생산기반 단지 조성 시범사업(농기계 구입),2,3
2025년 친환경농업단지 조성사업 친환경농자재(왕우렁이) 구입(민간대행),2,14
임대농기계 구입(농업기계 확대공급 지원사업)[마늘파종기],2,17
Y-Farm Expo 2025 귀농귀촌 지역살리기 박람회 전시 용역,1,69
국내육성 사료용 맥류 종자생산 및 이용확대 기반 구축 시범사업 추진을 위한 모우어 구입(민간입찰대행),2,3
제16회 향수옥천 포도·복숭아축제 행사대행 용역(협상에의한계약),1,69
2025년 주산지일관기계화사업 장기임대 농기계(드론외 1종) 구입 수의견적 공고,2,17
제20회 남해 마늘한우 축제 행사대행 용역,1,69
2025 APEC 식량안보장관 산하 회의 및 제반행사 대행 용역,1,69
2025년 농외 소득창출형 농작업 대행 사업용 장비 구입,2,15
2025년 포항시 농특산물 가공식품 대전 행사대행 용역,1,69
「2025 춘천 반려동물 페스티벌」대행 용역(협상에 의한 계약),1,69
2025 농업기술박람회 행사 대행 용역,1,69
2025년도 양평밀 농작업 대행단 운영 용역(단가계약),2,15
2025년 여수시 학교급식 식재료 안전성 검사 용역,2,9
 2025년 경로당 지역농산물 꾸러미 배송용역 단가계약,1,40
2025년 영농취약계층 농작업 대행사업 용역,2,15
2025년 음성군 공정육묘장 고추 종자 구입 공고,2,3
2025년 경로당 지역농산물 꾸러미 배송용역 단가계약,1,40
2025년 육묘장 고추종자 구입,2,3
2026년 세계식물원교육의 날 운영 및 홍보 대행,1,69
2026년 세계 산림의 날 기념행사 대행,1,69
2025년 운영지원 및 홍보 워크숍 대행,1,69
정부혁신 박람회 산림청 부스 운영 대행 ,1,69
SNS 미드폼 콘텐츠 제작,2,75
SNS 숏폼 콘텐츠 제작,2,75
2025년 선도 산림경영단지 홍보 부스 기획 및 설치 용역,1,69
2025 산림박람회 행사 대행 용역,1,69
2026년 G-Tower 직원식당 식재료(수산물류) 구매,1,19
2026년 G-Tower 직원식당 식재료(김치류) 구매,1,19
2026년 G-Tower 직원식당 식재료(축산물류) 구매,1,19
2026년 G-Tower 직원식당 식재료(주부식류) 구매,1,19
IFEZ 항공우주 글로벌 혁신 심포지엄 행사운영 용역,1,69
2025년도 국가기술표준원 온라인홍보 사업,1,55
2025년 IFEZ 관광.먹거리 블로그 및 SNS 매체 운영 용역,1,56
제품안전 정보지 SAFETY KOREA 제작 용역 사업 공고,2,74
2025년 경제청소식지 IFEZ 저널 제작,2,74
"2025년 DGFEZ 매거진 발간, DM 발송 용역",2,74
2025 DGFEZ SNS 채널 운영,1,56
2025 SNS 및 뉴미디어 매체활용 홍보 용역,1,56
2026년 1~2월 환자급식용 물품(부식) 구매,1,24
2026년 1~2월(2개월분) 환자 부식 등 구매,1,24
국립부곡병원 2026년도 1~2월분 재원환자 급식용 김치류 구입,1,24
국립부곡병원 2026년 1~2월분 재원환자 급식재료 구입,1,24
2026년 1~2월 국립나주병원 환자급식용 식재료 구매,1,24
2026년도 보건복지부 온라인 모니터링 ,1,55
2026년 1~2월분 환자부식(가자미 등 151품목)구매,1,24
"환자급식용 주·부식 구매(1~4월, 4개월분)",1,24
2026년 입원환자 주부식(1~2월분) 구매 소액수의 견적제출 안내공고,2,9
2025년 국립공주병원 11~12월 환자급식용 물품(부식)구매 입찰 공고,2,9
2025년 11~12월(2개월분) 환자 부식 등 구매,2,9
2025년 11~12월분 환자부식(가자미 등 150품목)구매,2,9
국립부곡병원 2025년 11~12월분 재원환자 급식용 김치류 구입,2,9
국립부곡병원 2025년 11~12월분 재원환자 급식재료 구입,2,9
2025년 11~12월 환자급식용 식재료 구매  소액수의 견적 제출 공고,2,9
2025년 입원환자 주부식(11~12월분) 구매 소액수의 견적제출 안내공고,2,9
국립부곡병원 2025년  9~10월분 재원환자 급식용 김치류 구입,2,9
2025년 9월~10월(2개월분) 환자부식 등 구매,2,9
2025년 9~10월 환자급식용 식재료 구매,2,9
2025년 9~10월분 환자부식(가자미 등 144품목)구매,2,9
국립부곡병원 2025년 9~10월분 재원환자 급식재료 구입 ,2,9
2025년 입원환자 주부식(9~10월분) 구매 소액수의 견적제출 안내공고(변경),2,9
2025년 입원환자 주부식(9~10월분) 구매 소액수의 견적제출 안내공고,2,9
국립공주병원 2025년 9~10월 환자급식용 물품(부식) 구매 ,2,9
"환자급식용 주·부식 구매(9~12월, 4개월분)",2,9
2025년 입원환자 주부식(7~8월) 구매,1,24
2025년 7~8월 환자급식용 물품(부식) 구매,1,24
2025년 7~8월분 환자부식(가자미 등 150품목)구매,1,24
국립부곡병원 2025년 7~8월분 재원환자 급식재료 구입,1,24
국립부곡병원 2025년 7~8월분 재원환자 급식용 김치류 구입,1,24
2025년 7~8월 환자급식용 식재료 구매 소액수의 견적 제출 공고,1,24
2025년 7~8월(2개월분) 환자 부식 등 구매,1,24
2025년 5~6월 환자급식용 물품(부식) 구매,1,24
2025년 5~6월분 환자부식(가자미 등 151품목)구매,1,24
국립부곡병원 2025년 5~6월분 재원환자 급식용 김치류 구입,1,24
국립부곡병원 2025년 5~6월분 재원환자 급식재료 구입,1,24
2025년 입원환자 주ㆍ부식(5~6월분) 구매,1,24
2025년 5~6월(2개월분) 환자부식 등 구매,1,24
2025년 5~6월 환자급식용 식재료 구매 소액수의 견적 제출 공고,2,9
국립부곡병원 재원환자 급식용 식재료(쌀) 구입,2,9
"환자급식용 주·부식 구매(5~8월, 4개월분)",2,9
2025년 3~4월분 환자급식용 물품(부식) 구매,2,9
2025년 3월~4월(2개월분) 환자 부식 등 구매,2,9
2025년 입원환자 주부식(3~4월분) 구매,2,9
국립부곡병원 2025년 3~4월분 재원환자 급식용 김치류 구입,2,9
국립부곡병원 2025년 3~4월분 재원환자 급식재료 구입,2,9
2025년 3~4월  환자급식용 식재료 구매 소액수의 견적 제출 공고,2,9
2025년 3~4월분 환자부식(가자미 등 150품목)견적제출 공고,2,9
2026년 1분기(1~3월) 국립마산병원 환자부식 구매 소액수의견적 제출 공고,1,24
2026년 1월~3월 입원환자식당 식자재 구매,1,24
"[일반용역,5번][자체,협상,예접]2026년 온라인 교육 콘텐츠 유지보수 사업",2,71
2026년 질병관리청 예방접종 교육 사업,2,71
2026년 질병관리청 인재개발 프로그램 위탁 운영,2,71
2025년 4분기(10~12월) 국립마산병원 환자부식 구매 소액수의견적 제출 공고,2,9
"[일반용역,187번][자체,협상,질병]감염병 교육 의무화 이러닝 교육과정 개발",2,75
2025년 10월~12월 입원환자식당 식자재 구매,1,24
국립목포병원 2025년 7월~9월 입원환자식당 식자재 구매,1,24
2025년 3분기(7~9월) 국립마산병원 환자부식 구매 소액수의견적 제출 공고,1,24
2025년 2분기(4~6월) 국립마산병원 환자부식 구매 소액수의견적 제출 공고,2,9
국립목포병원 2025년 4월~6월 입원환자식당 식자재 구매,1,24
2026년 세계 물의 날 기념행사 운영사업,1,69
국립항공박물관 협업 특별전 전시연출 및 전시물 제작설치,1,69
2025년 미세먼지 저감정책 광고·홍보 대행,1,55
2025년 습지의 날 기념행사 대행 용역,1,69
2025년 생물다양성의 날 및 철새의 날 기념행사 대행 용역,1,69
2026년 국립청소년인터넷드림마을 식자재 구매,1,19
제42차 ICAO 총회 한국의 밤 행사대행 및 대표단 지원,1,69
새만금산단 입주기업 워크숍 및 간담회 행사대행 용역,1,69
새만금 해양관광 활성화 홍보 영상 제작,2,75
2025년 새만금 RE100 투자가능기업 투자설명회 행사위탁용역,1,69
2025 새만금 생생(生生) 배드민턴 대회 용역,1,69
"새만금 국제 크루즈 선사,여행사 초청 세미나 대행용역",1,69
2025년 새만금 종합홍보 대행 용역,1,56
2026년 행복도시 종합홍보용역,1,56
2026년 행정중심복합도시 종합홍보용역,1,56
2026년도 민간협업 및 홍보캠페인 영상 제작,1,56
2026년도 정책홍보 영상제작 및 유튜브 채널운영,1,56
2026년도 해양수산부 온라인 정책홍보 대행,1,56
제4차 UN해양총회(UNOC) 유치홍보 용역,1,56
2025학년도 부산해사고등학교 2학년 현장체험학습(국외수학여행) 위탁용역,1,58
2025학년도 하계 학생역량강화 공대기업반 강좌 위탁용역,2,71
2025학년도 부산기계공업고등학교 학생 해외연수(중국) 위탁 용역 공고,1,58
2025학년도 특화교육과정 SW 역량강화 교육 용역,2,71
2025학년도 하계 학생역량강화 비즈니스영어 강좌 위탁용역,2,71
2025년 중소벤처기업부 외국어 역량강화 교육 운영 용역,2,71
2025학년도 전북기계공업고등학교 고등자기성장캠프 위탁용역 소액수의 견적 제출 공고(긴급),2,71
2025학년도 고등자기성장캠프 위탁용역 소액수의 견적 제출 공고(긴급),2,71
(긴급)2025학년도 구미전자공업고등학교 2학년 수학여행 용역,1,59
2025학년도 급식용 우유 구입,1,24
2025학년도 취업역량강화 프로그램(캠프) 운영 위탁 교육 용역,2,71
2025학년도 전북기계공고 고등자기성장캠프 위탁용역,2,71
2025년 중소벤처기업부 재직자교육,2,71
2025학년도 부산기계공업고등학교 1학년 현장체험학습 위탁 용역 공고(G2B) ,1,59
2025 APEC 중소기업 장관회의 행사 위탁용역,1,69
2025학년도 1학기 방과후학교 비즈니스영어 강좌 위탁용역,2,71
2025년 전북기계공고 영마이스터 글로벌 산업현장탐방 위탁용역,1,58
2025학년도 부산기계공업고등학교 2학년 현장체험학습(제주도) 위탁용역 중앙조달계약 입찰 요청,1,59
개인정보 보호기술 전시회 부스 설치,1,69
개인정보보호위원회 조사관 역량 강화 교육,2,71
2025년 개인정보보호위원회 종합 홍보 사업,1,56
2025년 제47차 GPA 서울 총회 행사대행,1,69
제30회 소비자의 날 행사 위탁,1,69
제10회 아시아소비자정책포럼 행사 위탁,1,69
제23회 대학(원)생 모의공정위 경연대회 운영대행 위탁사업,1,69
제13회 서울국제경쟁포럼 및 제3회 한·ASEAN·CIS 경쟁정책 협의회 행사 기획,1,69
국가 대테러 발전 세미나 운영,1,69
개발협력주간 행사 운영,1,69
2025년 추석 맞이 우리 농축산물 등 구매,1,19
우리 농축산물 등 구매,1,1
2026년도 국가고시센터 급식재료 납품(국가직),1,24
2025년 국가공무원인재개발원 식자재 납품업체 선정,1,24
2025년 2분기 국가인재원 구내식당급식재료(수산물)구매,1,24
2025년 2분기 국가인재원 구내식당급식재료(공산품)구매,1,24
2025년 2분기 국가인재원 구내식당 급식재료(축산물) 구매,1,24
